hash;ball;egkr;a1;a2;a3;ag;g1;g2;g3;gg;i1;i2;i3;ia;ig;f1;f2;f3;fa;fg;r1;r2;r3;ra;rg;pri;prm;prf;prr
BBBCD02D27D0D22D52ECD31DCB6D3689;98;90;4;5;4;4;5;4;4;4;4;5;5;5;5;4;4;5;4;4;5;5;5;5;5;5;5;4;5
A02F4F2E25660202C9F1B157CFCADD30;80;48;3;3;3;3;4;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;4;0;3
3AC59F74D58D8341791FEC7128B0D014;83;34;4;3;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;5;4;4;4;4;3;4;0;4
EBC562B1A192B352D7195FCB7804CDE4;88;48;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;5;5;5;5;5;4;5;0;5
18E8AB304B321D69ED6DA6FF410FBA81;93;66;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;5;5;5;5;5;4;5;0;5
E894A190E351D6F0BC546C7933A893C4;88;72;3;3;3;3;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4
19B0E85C7C67A57DC3B9408A5A4DFA9F;93;72;4;3;3;3;3;3;3;3;4;4;4;4;4;3;4;3;4;4;4;4;5;4;4;0;3;0;0
5EF0AF578B4F85BA1527899BF4491077;70;31;4;3;4;4;4;4;4;4;4;3;3;3;4;4;4;4;4;4;4;4;5;4;5;0;4;0;0
868B2AE982A6C037512F08F0A55E54F4;83;24;4;3;4;4;4;4;4;4;4;3;3;3;4;4;4;4;4;4;4;4;5;4;5;0;4;0;0
C8E788DD1822E42A54CD27F13157FA5B;85;55;4;3;4;4;4;3;3;3;4;4;5;4;4;4;4;4;4;4;4;3;4;4;4;0;3;3;0
FFEDF88FCF7C8BD42D991BC263F626B5;72;83;4;4;4;4;4;4;5;4;5;4;5;5;5;4;5;5;4;5;4;4;5;4;4;0;0;4;0
